Unnamed: 0,name,original_style,brewery,abv,ave rating,min ibu,max ibu,astringency,body,alcohol,bitter,sweet,sour,salty,fruits,hoppy,spices,malty,state,country,retired,style,milk,old,dark,wild,pale,red,imperial
38,Duckstein Rotblondes Original,Altbier,Duckstein GmbH,4.9,3.51,25,50,17,31,5,50,28,10,0,11,51,15,80,,DE,f,Altbier,0,0,0,0,0,0,0
39,Moby D,Altbier,Buzzards Bay Brewing,5.0,3.58,25,50,26,37,14,65,57,33,0,33,107,3,98,MA,US,f,Altbier,0,0,0,0,0,0,0
40,Scruffy'S Smoked Alt,Altbier,Cedar Creek Brewery,5.1,3.68,25,50,18,45,11,29,39,28,3,21,31,130,91,TX,US,f,Altbier,0,0,0,0,0,0,0
41,Über Alt,Altbier,Rush River Brewing Company,8.5,3.96,25,50,32,64,28,47,135,49,2,65,55,15,182,WI,US,f,Altbier,0,0,0,0,0,0,0
42,Füchschen Alt,Altbier,Brauerei Im Füchschen,4.5,4.14,25,50,33,54,13,52,57,10,0,14,68,15,100,,DE,f,Altbier,0,0,0,0,0,0,0
43,Sticke It To The Man,Altbier,O'Fallon Brewery,7.5,3.41,25,50,18,55,50,51,87,22,0,39,47,6,96,MO,US,f,Altbier,0,0,0,0,0,0,0
44,Creemore Springs Collaboration Altbier,Altbier,Creemore Springs Brewery Limited,5.0,3.64,25,50,26,61,6,50,69,27,0,22,73,8,144,ON,CA,f,Altbier,0,0,0,0,0,0,0
45,Evan Altmighty,Altbier,Blue Mountain Brewery,6.6,3.66,25,50,21,39,7,40,62,34,0,47,65,5,80,VA,US,f,Altbier,0,0,0,0,0,0,0
46,Alterior Motive,Altbier,COAST Brewing Company,6.3,4.05,25,50,27,61,11,56,61,46,0,40,77,14,110,SC,US,f,Altbier,0,0,0,0,0,0,0
47,Gpa (German Pale Ale),Altbier,3 Nations Brewing Co.,5.2,3.82,25,50,6,12,1,45,17,36,0,39,50,0,23,TX,US,f,Altbier,0,0,0,0,0,0,0
49,Alternate Dimension,Altbier,Trader Joe's Brewing Company,5.6,3.66,25,50,25,50,12,72,61,20,0,21,59,26,139,CA,US,f,Altbier,0,0,0,0,0,0,0
51,Third Coast Old Ale,Barleywine - American,Bell's Brewery - Eccentric Café & General Store,10.2,4.13,60,100,8,38,29,39,99,32,0,57,37,7,72,MI,US,f,Barleywine,0,0,0,0,0,0,0
52,Olde School Barleywine,Barleywine - American,Dogfish Head Craft Brewery,15.0,4.02,60,100,20,55,82,56,170,30,0,107,43,13,62,DE,US,f,Barleywine,0,0,0,0,0,0,0
53,Brewer'S Reserve Bourbon Barrel Barleywine,Barleywine - American,Central Waters Brewing Co.,14.3,4.33,60,100,11,65,94,40,142,25,0,63,23,27,133,WI,US,f,Barleywine,0,0,0,0,0,0,0
55,Old Horizontal,Barleywine - American,Victory Brewing Company - Downingtown,11.0,4.06,60,100,9,49,45,78,83,36,1,52,97,12,117,PA,US,f,Barleywine,0,0,0,0,0,0,0
57,Olde Gnarlywine,Barleywine - American,Lagunitas Brewing Company,10.9,4.09,60,100,14,49,44,47,74,28,0,43,68,17,89,CA,US,f,Barleywine,0,0,0,0,0,0,0
58,Old Numbskull,Barleywine - American,AleSmith Brewing Company,11.0,4.14,60,100,14,58,36,52,117,29,0,54,67,13,122,CA,US,f,Barleywine,0,0,0,0,0,0,0
59,Flying Mouflan,Barleywine - American,Tröegs Brewing Company,9.3,4.15,60,100,17,74,41,66,143,38,1,78,72,11,130,PA,US,f,Barleywine,0,0,0,0,0,0,0
61,Xs Old Crustacean,Barleywine - American,Rogue Ales,11.5,4.05,60,100,13,51,35,88,80,41,0,65,86,14,83,OR,US,f,Barleywine,0,0,0,0,0,0,0
62,Doggie Claws,Barleywine - American,Hair Of The Dog Brewing Company / Brewery And Tasting Room,11.5,4.18,60,100,14,55,34,66,102,36,1,53,82,22,98,OR,US,f,Barleywine,0,0,0,0,0,0,0
63,A Deal With The Devil,Barleywine - American,Anchorage Brewing Company,17.3,4.57,60,100,4,68,33,31,141,26,0,66,15,20,88,AK,US,f,Barleywine,0,0,0,0,0,0,0
64,Helldorado,Barleywine - American,Firestone Walker Brewing Co.,12.8,4.29,60,100,6,39,56,25,101,23,5,45,48,21,134,CA,US,f,Barleywine,0,0,0,0,0,0,0
