Unnamed: 0,name,original_style,brewery,abv,ave rating,min ibu,max ibu,astringency,body,alcohol,bitter,sweet,sour,salty,fruits,hoppy,spices,malty,state,country,retired,style,milk,old,dark,wild,pale,red,imperial
871,Nut Brown Ale,Ale Brown - English,Ithaca Beer Company,5.4,3.61,15,25,8,62,18,53,62,4,0,6,35,15,168,NY,US,f,Ale Dark,0,0,0,0,0,0,0
872,Pig'S Ear Brown Ale,Ale Brown - English,Woodstock Inn Brewery,4.3,3.58,15,25,12,55,12,46,66,13,0,10,53,4,130,NH,US,f,Ale Dark,0,0,0,0,0,0,0
874,Chomolungma,Ale Brown - English,Jackie O's Pub & Brewery,6.5,3.81,15,25,8,45,6,36,70,15,1,15,31,4,112,OH,US,f,Ale Dark,0,0,0,0,0,0,0
877,Bad Penny,Ale Brown - English,Big Boss Brewing,5.2,3.61,15,25,13,54,9,24,48,12,0,11,21,2,103,NC,US,f,Ale Dark,0,0,0,0,0,0,0
878,Euforia,Ale Brown - English,DuClaw Brewing Company,5.0,3.58,15,25,11,48,8,29,65,5,0,5,29,8,147,MD,US,f,Ale Dark,0,0,0,0,0,0,0
879,Brown Ale,Ale Brown - English,Upslope Brewing Company - Lee Hill,6.7,3.94,15,25,17,83,13,64,90,9,0,6,54,11,154,CO,US,f,Ale Dark,0,0,0,0,0,0,0
881,Nut Brown Ale,Ale Brown - English,Santa Fe Brewing Company,5.2,3.47,15,25,23,49,10,35,54,4,1,4,45,2,127,NM,US,f,Ale Dark,0,0,0,0,0,0,0
883,Truck Stop Honey Brown Ale,Ale Brown - English,Back Forty Beer Co.,6.0,3.51,15,25,9,30,4,15,97,8,0,6,30,2,135,AL,US,f,Ale Dark,0,0,0,0,0,0,0
884,Brown Eyed Squirrel,Ale Brown - English,RJ Rockers Brewing Company,5.6,3.59,15,25,10,60,4,32,55,10,0,11,27,4,113,SC,US,f,Ale Dark,0,0,0,0,0,0,0
885,Buster Nut Brown Ale,Ale Brown - English,Ska Brewing Co.,5.15,3.48,15,25,10,62,11,41,74,9,0,12,39,2,142,CO,US,f,Ale Dark,0,0,0,0,0,0,0
887,Pullman Nut Brown,Ale Brown - English,Flossmoor Station Restaurant & Brewery,6.0,4.01,15,25,8,96,11,67,92,10,2,13,28,4,177,IL,US,f,Ale Dark,0,0,0,0,0,0,0
889,Get Up Offa That Brown,Ale Brown - English,Golden Road Brewing,5.5,3.72,15,25,6,70,8,38,68,11,0,8,42,7,155,CA,US,f,Ale Dark,0,0,0,0,0,0,0
890,Thunder Hole Ale,Ale Brown - English,Atlantic Brewing Company,4.8,3.73,15,25,11,61,8,49,44,10,0,10,51,2,117,ME,US,f,Ale Dark,0,0,0,0,0,0,0
892,Nut Brown Ale,Ale Brown - English,Blackstone Brewing Company,5.6,3.65,15,25,7,37,7,33,37,1,0,3,28,5,100,TN,US,f,Ale Dark,0,0,0,0,0,0,0
894,Ring Neck Braun Ale,Ale Brown - English,Brau Brothers Brewing Co. LLC,6.8,3.81,15,25,13,100,9,28,98,17,0,27,25,5,133,MN,US,f,Ale Dark,0,0,0,0,0,0,0
896,Brewer'S Brown Ale,Ale Brown - English,Shipyard Brewing Company,5.4,3.58,15,25,15,62,10,50,79,20,1,33,45,9,127,ME,US,f,Ale Dark,0,0,0,0,0,0,0
897,Geary'S Autumn Ale,Ale Brown - English,D.L. Geary Brewing Company,5.8,3.73,15,25,14,65,10,57,93,13,0,13,57,16,145,ME,US,f,Ale Dark,0,0,0,0,0,0,0
898,Pub Brown Ale,Ale Brown - English,Sprecher Brewing Company,4.8,3.63,15,25,12,51,13,27,78,9,3,15,36,3,164,WI,US,f,Ale Dark,0,0,0,0,0,0,0
899,Third Stone Brown,Ale Brown - English,Empyrean Brewing Company,5.3,3.6,15,25,12,84,9,29,68,19,0,18,33,7,133,NE,US,f,Ale Dark,0,0,0,0,0,0,0
900,Anchor Steam Beer,Steam Beer - American,Anchor Brewing Company,4.9,3.87,35,45,31,35,13,41,60,42,3,41,58,11,77,CA,US,f,Steam Beer,0,0,0,0,0,0,0
901,Dorothy'S New World Lager,Steam Beer - American,Toppling Goliath Brewing Company,5.5,3.72,35,45,39,70,5,43,46,58,13,45,75,7,126,IA,US,f,Steam Beer,0,0,0,0,0,0,0
902,Brotherhood Steam,Steam Beer - American,Anchor Brewing Company,5.6,3.79,35,45,31,37,9,74,71,67,1,85,107,6,103,CA,US,f,Steam Beer,0,0,0,0,0,0,0
903,Tarnation California-Style Lager,Steam Beer - American,Baxter Brewing Co.,5.3,3.59,35,45,28,43,2,43,37,16,0,14,60,2,72,ME,US,f,Steam Beer,0,0,0,0,0,0,0
904,Columbia Common,Steam Beer - American,Widmer Brothers Brewing Company,4.7,3.5,35,45,24,43,12,53,51,36,0,36,106,9,94,OR,US,f,Steam Beer,0,0,0,0,0,0,0
905,Oscura,Steam Beer - American,Furthermore Beer,5.3,3.86,35,45,23,53,12,133,49,18,2,11,26,7,173,WI,US,f,Steam Beer,0,0,0,0,0,0,0
906,Dampf Loc,Steam Beer - American,Local Option,5.3,3.68,35,45,30,56,28,44,77,50,6,46,73,16,148,IL,US,f,Steam Beer,0,0,0,0,0,0,0
907,Anchor Steam Beer - Dry-Hopped,Steam Beer - American,Anchor Brewing Company,5.4,3.81,35,45,23,31,6,65,48,58,3,75,108,11,67,CA,US,f,Steam Beer,0,0,0,0,0,0,0
908,East Coast Common Lager,Steam Beer - American,Smuttynose Brewing Company,7.4,4.08,35,45,16,54,22,53,62,69,0,90,82,10,49,NH,US,f,Steam Beer,0,0,0,0,0,0,0
909,Steam Engine Lager,Steam Beer - American,Steamworks Brewing Co.,5.5,3.42,35,45,27,40,7,47,46,13,1,14,68,2,92,CO,US,f,Steam Beer,0,0,0,0,0,0,0
910,District Common,Steam Beer - American,Atlas Brew Works,5.1,3.58,35,45,14,19,7,24,22,25,3,31,38,7,60,DC,US,f,Steam Beer,0,0,0,0,0,0,0
912,Hop Common,Steam Beer - American,Peekskill Brewery,5.7,3.74,35,45,17,20,4,55,12,33,0,34,77,2,39,NY,US,f,Steam Beer,0,0,0,0,0,0,0
913,Derecho,Steam Beer - American,Port City Brewing,4.8,3.69,35,45,27,31,17,65,29,64,3,60,82,11,66,VA,US,f,Steam Beer,0,0,0,0,0,0,0
915,The Citizen,Steam Beer - American,Cismontane Brewing Company,6.0,3.74,35,45,18,40,7,45,52,49,2,53,76,8,79,CA,US,f,Steam Beer,0,0,0,0,0,0,0
916,Catahoula Common,Steam Beer - American,Gnarly Barley Brewing Company,5.7,3.64,35,45,5,6,3,4,7,10,0,9,9,3,20,LA,US,f,Steam Beer,0,0,0,0,0,0,0
917,Skjálfti,Steam Beer - American,Ölvisholt Brugghús,5.0,3.74,35,45,15,48,3,71,47,41,2,45,96,6,97,,IS,f,Steam Beer,0,0,0,0,0,0,0
918,Mountain Goat Steam Ale,Steam Beer - American,Mountain Goat Beer Pty Ltd,4.5,3.37,35,45,29,32,8,32,41,54,0,53,43,8,42,,AU,f,Steam Beer,0,0,0,0,0,0,0
919,Pomona Queen,Steam Beer - American,Last Name Brewing,4.9,3.23,35,45,17,23,5,24,26,8,0,11,35,1,49,CA,US,f,Steam Beer,0,0,0,0,0,0,0
921,Steamy Windows,Steam Beer - American,Liberty Street Brewing Company,5.6,3.37,35,45,13,27,8,28,26,28,0,24,43,4,35,MI,US,f,Steam Beer,0,0,0,0,0,0,0
922,Common Man Special Lager,Steam Beer - American,Three Heads Brewing,5.5,3.36,35,45,20,41,8,48,32,36,3,25,72,8,63,NY,US,f,Steam Beer,0,0,0,0,0,0,0
923,Rocket Bike American Lager,Steam Beer - American,Moab Brewery,4.0,3.36,35,45,10,15,2,15,18,6,1,4,23,5,41,UT,US,f,Steam Beer,0,0,0,0,0,0,0
924,Big Boca Ale,Steam Beer - American,Fat Point Brewing,5.1,3.59,35,45,6,6,4,12,13,3,0,4,16,4,17,FL,US,f,Steam Beer,0,0,0,0,0,0,0
925,Boston Common,Steam Beer - American,Boston Beer Works - Canal Street,5.0,3.65,35,45,2,37,8,28,27,22,0,19,40,4,35,MA,US,f,Steam Beer,0,0,0,0,0,0,0
926,Mosquito Beach,Steam Beer - American,Lake Louie Brewery Company,6.0,3.72,35,45,8,29,4,33,41,14,3,22,54,3,75,WI,US,f,Steam Beer,0,0,0,0,0,0,0
927,Simple,Steam Beer - American,Barrier Brewing Company,5.2,3.67,35,45,10,1,0,13,10,1,0,1,20,1,18,NY,US,f,Steam Beer,0,0,0,0,0,0,0
930,33 Acres Of Life,Steam Beer - American,33 Acres Brewing Co.,4.8,3.78,35,45,5,4,4,6,6,4,0,4,10,5,11,BC,CA,f,Steam Beer,0,0,0,0,0,0,0
931,Steamhead,Steam Beer - American,Aviator Brewing Company,5.8,3.65,35,45,9,18,6,24,26,15,1,9,34,1,43,NC,US,f,Steam Beer,0,0,0,0,0,0,0
932,Steemboat,Steam Beer - American,Sunken City Brewing Company,5.6,3.65,35,45,4,6,1,8,12,6,1,3,13,0,16,VA,US,f,Steam Beer,0,0,0,0,0,0,0
933,St. Florian'S California Common,Steam Beer - American,St. Florian's Brewery,6.0,3.73,35,45,7,12,0,5,10,10,0,11,12,6,30,CA,US,f,Steam Beer,0,0,0,0,0,0,0
934,Ampere Amber,Steam Beer - American,Tin Whiskers Brewing Company,4.2,3.51,35,45,0,9,1,7,7,11,1,6,12,0,18,MN,US,f,Steam Beer,0,0,0,0,0,0,0
935,1888,Steam Beer - American,Anaheim Brewery,5.5,3.47,35,45,1,10,1,11,5,8,0,7,19,1,13,CA,US,f,Steam Beer,0,0,0,0,0,0,0
936,Virginia Common,Steam Beer - American,Ardent Craft Ales,5.3,3.77,35,45,4,2,0,2,1,1,0,1,3,0,3,VA,US,f,Steam Beer,0,0,0,0,0,0,0
937,Urban People'S Common Lager,Steam Beer - American,Linden Street Brewery,5.5,3.78,35,45,9,14,1,16,11,10,1,10,33,3,12,CA,US,f,Steam Beer,0,0,0,0,0,0,0
938,Chicago Common,Steam Beer - American,Kinslahger Brewing Company,7.5,3.59,35,45,1,11,4,14,7,3,0,1,18,3,31,IL,US,f,Steam Beer,0,0,0,0,0,0,0
940,Northtown Native,Steam Beer - American,Cinder Block Brewery,5.0,3.53,35,45,3,5,2,5,5,2,0,0,6,0,10,MO,US,f,Steam Beer,0,0,0,0,0,0,0
941,Chesapeake Common Lager,Steam Beer - American,Key Brewing Co.,4.8,3.56,35,45,2,6,0,10,5,5,0,5,13,1,12,MD,US,f,Steam Beer,0,0,0,0,0,0,0
942,Common Sense,Steam Beer - American,Berryessa Brewing Co,4.5,3.6,35,45,3,2,2,5,1,5,0,3,7,0,4,CA,US,f,Steam Beer,0,0,0,0,0,0,0
943,Dampf Punk,Steam Beer - American,Switchback Brewing Company,5.8,3.96,35,45,9,13,3,20,8,11,2,5,42,7,18,VT,US,f,Steam Beer,0,0,0,0,0,0,0
944,Big Sky Uncommon Lager,Steam Beer - American,Whistler Brewing Company,5.0,3.66,35,45,4,8,1,9,9,6,0,9,16,1,28,BC,CA,f,Steam Beer,0,0,0,0,0,0,0
945,Yoerg'S Beer,Steam Beer - American,Yoerg Brewing Company,4.9,3.7,35,45,6,18,10,37,23,18,0,12,39,2,47,MN,US,f,Steam Beer,0,0,0,0,0,0,0
946,Derby Lager,Steam Beer - American,Pike Brewing Company,5.5,3.5,35,45,3,8,2,14,5,7,0,4,13,0,13,WA,US,f,Steam Beer,0,0,0,0,0,0,0
947,Slingshot,Steam Beer - American,Radical Road Brewing Co.,5.0,3.67,35,45,6,11,1,9,7,0,0,0,22,1,17,ON,CA,f,Steam Beer,0,0,0,0,0,0,0
948,Tragedy Of The Common,Steam Beer - American,Iowa Brewing Company,4.9,3.89,35,45,1,0,1,3,2,0,0,0,4,1,5,IA,US,f,Steam Beer,0,0,0,0,0,0,0
949,Westy,Steam Beer - American,Sun King Brewing Company,6.7,3.92,35,45,7,2,2,11,5,5,0,6,12,1,8,IN,US,f,Steam Beer,0,0,0,0,0,0,0
950,Theobroma,Beer - Chilian,Dogfish Head Craft Brewery,9.0,3.89,0,0,7,70,21,35,74,31,0,27,9,59,84,DE,US,f,Lager,0,0,0,0,0,0,0
951,Chipotle Ale,Beer - Chilian,Rogue Ales,5.4,3.62,0,0,13,30,25,32,21,7,0,7,40,170,47,OR,US,f,Lager,0,0,0,0,0,0,0
952,Ghost Face Killah,Beer - Chilian,Twisted Pine Brewing Company,5.0,3.02,0,0,6,17,26,26,10,6,0,2,11,96,20,CO,US,f,Lager,0,0,0,0,0,0,0
953,Crime,Beer - Chilian,Arrogant Consortia,9.6,3.0,0,0,14,37,85,30,68,31,0,50,42,133,132,CA,US,f,Lager,0,0,0,0,0,0,0
954,Autumnal Molé Stout,Beer - Chilian,Ska Brewing Co.,5.8,3.63,0,0,6,93,14,41,43,6,2,3,12,160,77,CO,US,f,Lager,0,0,0,0,0,0,0
955,Sriracha Hot Stout,Beer - Chilian,Rogue Ales,5.7,3.6,0,0,7,53,27,43,39,3,0,5,9,82,73,OR,US,f,Lager,0,0,0,0,0,0,0
956,Punishment,Beer - Chilian,Arrogant Consortia,12.0,2.99,0,0,11,49,70,39,61,18,0,22,34,145,112,CA,US,f,Lager,0,0,0,0,0,0,0
957,5 Vulture,Beer - Chilian,5 Rabbit Cerveceria,6.4,3.53,0,0,5,44,24,26,66,8,2,15,13,87,74,IL,US,f,Lager,0,0,0,0,0,0,0
958,Billy'S Chilies Beer (Timberline Series),Beer - Chilian,Twisted Pine Brewing Company,5.0,3.42,0,0,13,22,37,11,23,15,0,14,9,184,22,CO,US,f,Lager,0,0,0,0,0,0,0
959,Fatali Four,Beer - Chilian,Upright Brewing Company,4.5,4.15,0,0,36,33,43,12,44,140,1,83,31,105,30,OR,US,f,Lager,0,0,0,0,0,0,0
960,Jalapeño Pepper Ale,Beer - Chilian,Bent River Brewing Company,4.81,3.37,0,0,4,11,24,9,7,4,0,3,11,90,24,IL,US,f,Lager,0,0,0,0,0,0,0
961,Don Jalapeno Ale,Beer - Chilian,No Label Brewing Company,6.7,3.48,0,0,4,10,8,4,3,5,1,3,3,70,15,TX,US,f,Lager,0,0,0,0,0,0,0
962,Mexicali Stout,Beer - Chilian,Birdsong Brewing,5.7,3.93,0,0,4,40,10,37,21,1,0,1,6,48,61,NC,US,f,Lager,0,0,0,0,0,0,0
963,Hot-Jala-Heim,Beer - Chilian,Horseheads Brewing Inc.,7.2,3.85,0,0,6,40,28,10,33,14,0,13,11,153,42,NY,US,f,Lager,0,0,0,0,0,0,0
965,Serrano Pepper Ale,Beer - Chilian,Saugatuck Brewing Company,6.7,3.71,0,0,22,22,23,8,29,14,0,15,24,141,53,MI,US,f,Lager,0,0,0,0,0,0,0
966,Nacho Bait,Beer - Chilian,Country Boy Brewing,4.9,3.75,0,0,8,19,17,12,17,12,0,10,15,63,23,KY,US,f,Lager,0,0,0,0,0,0,0
967,Chipotle Smoked Porter,Beer - Chilian,Pipeworks Brewing Company,7.5,3.85,0,0,9,74,35,20,36,2,0,2,8,179,75,IL,US,f,Lager,0,0,0,0,0,0,0
968,Patty'S Chile Beer,Beer - Chilian,Wynkoop Brewing Company,4.2,3.5,0,0,13,33,24,9,16,5,1,5,9,136,30,CO,US,f,Lager,0,0,0,0,0,0,0
969,Ghost Scorpion Lager,Beer - Chilian,Elevator Brewery & Draught Haus,5.0,2.65,0,0,7,31,40,19,14,17,0,22,7,112,10,OH,US,f,Lager,0,0,0,0,0,0,0
970,Fire Escape,Beer - Chilian,Asheville Brewing Company,5.5,3.9,0,0,13,11,17,9,16,9,5,9,16,50,26,NC,US,f,Lager,0,0,0,0,0,0,0
971,Fuego,Beer - Chilian,Twisted X Brewing Company,6.5,3.46,0,0,12,16,15,18,16,10,0,4,17,46,15,TX,US,f,Lager,0,0,0,0,0,0,0
972,Spicy Bohemian,Beer - Chilian,Throwback Brewery,4.8,3.94,0,0,14,10,10,7,6,3,1,0,6,52,17,NH,US,f,Lager,0,0,0,0,0,0,0
973,Chili Pepper Ale,Beer - Chilian,Six Rivers Brewery,6.0,3.22,0,0,10,22,32,13,12,25,0,20,4,169,30,CA,US,f,Lager,0,0,0,0,0,0,0
974,Li'L Lucy'S Hot Pepper Ale,Beer - Chilian,Weston Brewing Company & O'Malley's Pub,5.25,3.2,0,0,17,36,33,14,18,9,1,9,9,158,31,MO,US,f,Lager,0,0,0,0,0,0,0
975,Thai Peanut,Beer - Chilian,Right Brain Brewery,7.9,3.75,0,0,3,31,5,12,21,9,0,15,24,43,61,MI,US,f,Lager,0,0,0,0,0,0,0
977,Green Chile Lager,Beer - Chilian,Tommyknocker Brewery,5.3,3.58,0,0,8,27,25,19,7,1,6,3,31,118,38,CO,US,f,Lager,0,0,0,0,0,0,0
978,Red Rocket Stout,Beer - Chilian,Sawdust City Brewing Co.,5.3,3.7,0,0,3,43,22,59,16,2,0,3,19,120,68,ON,CA,f,Lager,0,0,0,0,0,0,0
979,Hot Chocolate,Beer - Chilian,Valkyrie Brewing,5.25,3.24,0,0,3,91,16,29,59,2,0,2,10,88,95,WI,US,f,Lager,0,0,0,0,0,0,0
980,What The Hatch,Beer - Chilian,No Label Brewing Company,6.0,3.78,0,0,5,11,12,4,6,3,0,3,2,73,15,TX,US,f,Lager,0,0,0,0,0,0,0
981,El Heffe (Jalepeno Hefeweizen),Beer - Chilian,Banger Brewing,5.2,3.79,0,0,0,4,3,0,0,0,0,1,0,19,3,NV,US,f,Lager,0,0,0,0,0,0,0
982,El Kabong,Beer - Chilian,DuClaw Brewing Company,6.0,3.67,0,0,6,24,27,10,66,16,1,45,10,73,24,MD,US,f,Lager,0,0,0,0,0,0,0
983,Modelo Chelada Tamarindo Picante,Beer - Chilian,Grupo Modelo S.A. de C.V.,3.3,3.42,0,0,9,21,13,10,75,50,32,64,16,97,13,,MX,f,Lager,0,0,0,0,0,0,0
984,Wasatch Jalapeño Cream Ale,Beer - Chilian,Utah Brewers Cooperative,4.0,3.87,0,0,7,19,10,4,1,3,2,4,2,35,10,,,f,Lager,0,0,0,0,0,0,0
985,Chili Devil,Beer - Chilian,Cerveceria Azteca,5.0,3.11,0,0,0,14,26,12,1,2,0,1,6,98,4,,MX,f,Lager,0,0,0,0,0,0,0
986,Sigda'S Green Chili,Beer - Chilian,Coopersmith's Pub & Brewing,5.4,3.47,0,0,8,15,10,2,8,4,1,4,6,76,7,CO,US,f,Lager,0,0,0,0,0,0,0
987,Too Darn Hot,Beer - Chilian,Noble Ale Works,6.8,3.6,0,0,1,3,2,2,4,3,0,7,1,11,2,CA,US,f,Lager,0,0,0,0,0,0,0
988,Wildfire Lager,Beer - Chilian,Fitger's Brewhouse,5.25,3.61,0,0,1,8,12,7,3,4,0,3,1,42,7,MN,US,f,Lager,0,0,0,0,0,0,0
989,Jose Pimiento,Beer - Chilian,Sante Adairius Rustic Ales,7.0,4.06,0,0,3,1,4,0,4,11,0,7,1,17,3,CA,US,f,Lager,0,0,0,0,0,0,0
990,Wanted: Joaquin Murrieta Chile Pepper Beer,Beer - Chilian,Tioga-Sequoia Brewing Company,4.8,3.35,0,0,6,10,14,8,1,2,0,1,5,96,11,CA,US,f,Lager,0,0,0,0,0,0,0
992,El Lapino,Beer - Chilian,Microbrasserie du Lièvre,5.4,1.63,0,0,1,8,10,10,9,4,0,6,3,96,12,QC,CA,f,Lager,0,0,0,0,0,0,0
994,Green Chili Beer,Beer - Chilian,Flat Branch Pub & Brewery,5.25,3.29,0,0,8,16,10,4,4,4,0,3,3,63,7,MO,US,f,Lager,0,0,0,0,0,0,0
995,Southern Ambrosia,Beer - Chilian,Wicked Weed Brewing,10.0,3.81,0,0,2,12,11,10,18,11,0,24,4,19,9,NC,US,f,Lager,0,0,0,0,0,0,0
996,En Verano,Beer - Chilian,Finback Brewery,5.0,3.95,0,0,0,0,2,0,0,6,0,6,0,6,0,NY,US,f,Lager,0,0,0,0,0,0,0
997,Hot Burning Love,Beer - Chilian,Barrier Brewing Company,5.4,3.56,0,0,0,3,4,1,7,1,0,0,0,21,7,NY,US,f,Lager,0,0,0,0,0,0,0
998,Chili Beer,Beer - Chilian,Calapooia Brewing Company,4.8,3.74,0,0,2,9,12,5,0,1,1,1,5,27,8,OR,US,f,Lager,0,0,0,0,0,0,0
999,Dave Brown,Beer - Chilian,COAST Brewing Company,6.9,3.94,0,0,2,26,17,19,37,6,0,6,14,69,32,SC,US,f,Lager,0,0,0,0,0,0,0
1000,Spotted Cow,Ale Cream - American,New Glarus Brewing Company,4.8,3.75,10,22,13,51,7,9,27,29,0,27,21,7,37,WI,US,f,Ale,0,0,0,0,0,0,0
1001,Summer Solstice,Ale Cream - American,Anderson Valley Brewing Company,5.0,3.7,10,22,15,70,7,25,70,19,1,22,37,22,91,CA,US,f,Ale,0,0,0,0,0,0,0
1002,Genesee Cream Ale,Ale Cream - American,Genesee Brewing Co. / Dundee Brewing Co.,5.1,3.08,10,22,14,63,4,17,32,19,0,11,20,3,31,NY,US,f,Ale,0,0,0,0,0,0,0
1003,Calm Before The Storm,Ale Cream - American,Ballast Point Brewing Company,5.5,3.9,10,22,20,64,8,79,28,10,0,8,19,49,90,CA,US,f,Ale,0,0,0,0,0,0,0
1004,Wexford Irish Cream Ale,Ale Cream - American,Greene King / Morland Brewery,5.0,3.4,10,22,9,103,9,21,64,28,4,31,50,10,107,GB2,GB,f,Ale,0,0,0,0,0,0,0
1005,Regular Coffee,Ale Cream - American,Carton Brewing Company,12.0,4.26,10,22,13,109,28,144,85,40,5,23,44,31,208,NJ,US,f,Ale,0,0,0,0,0,0,0
1006,Sunlight Cream Ale,Ale Cream - American,Sun King Brewing Company,5.3,3.54,10,22,18,48,6,22,31,17,0,16,35,2,69,IN,US,f,Ale,0,0,0,0,0,0,0
1007,Cali Creamin' Vanilla Cream Ale,Ale Cream - American,Mother Earth Brew Co.,5.5,3.84,10,22,14,66,16,21,43,7,0,7,28,54,47,CA,US,f,Ale,0,0,0,0,0,0,0
1009,Little Kings Cream Ale,Ale Cream - American,Hudepohl-Schoenling Brewing Co.,5.5,3.05,10,22,19,40,4,11,17,14,0,6,13,3,18,OH,US,f,Ale,0,0,0,0,0,0,0
1011,Carolina Blonde,Ale Cream - American,Foothills Brewing Company - Downtown Brewpub,4.3,3.17,10,22,30,50,6,32,15,17,0,13,41,2,50,NC,US,f,Ale,0,0,0,0,0,0,0
1012,Caramel Cream Ale,Ale Cream - American,Due South Brewing Co.,5.0,3.66,10,22,7,59,4,23,89,11,0,18,21,23,70,FL,US,f,Ale,0,0,0,0,0,0,0
1013,Kiwanda Cream Ale,Ale Cream - American,Pelican Pub & Brewery,5.4,3.66,10,22,25,68,6,26,32,22,1,15,40,5,65,OR,US,f,Ale,0,0,0,0,0,0,0
1014,Derailed Black Cherry Cream Ale,Ale Cream - American,Erie Brewing Co.,5.0,3.23,10,22,20,55,9,5,71,88,3,103,25,5,58,PA,US,f,Ale,0,0,0,0,0,0,0
1016,Cafe Y Churro,Ale Cream - American,Carton Brewing Company,12.0,4.43,10,22,10,72,19,83,97,12,0,10,16,80,102,NJ,US,f,Ale,0,0,0,0,0,0,0
1017,Kentucky Vanilla Barrel Cream Ale,Ale Cream - American,Alltech's Lexington Brewing and Distilling Co.,5.5,3.87,10,22,12,67,25,4,40,3,1,1,7,51,48,KY,US,f,Ale,0,0,0,0,0,0,0
1018,Narragansett Cream Ale,Ale Cream - American,Narragansett Brewing Co.,5.0,3.54,10,22,26,80,9,67,29,16,1,11,90,2,60,RI,US,f,Ale,0,0,0,0,0,0,0
1019,Cream Ale,Ale Cream - American,Hardywood Park Craft Brewery,4.4,3.6,10,22,21,60,10,37,47,9,0,7,49,8,68,VA,US,f,Ale,0,0,0,0,0,0,0
1020,Funnel Cake,Ale Cream - American,Forgotten Boardwalk Brewing,5.5,3.58,10,22,19,40,3,18,66,23,0,21,24,43,46,NJ,US,f,Ale,0,0,0,0,0,0,0
1021,Sleeman Cream Ale (64*),Ale Cream - American,Sleeman Breweries Ltd.,5.0,2.86,10,22,22,51,7,20,27,15,0,10,25,2,48,ON,CA,f,Ale,0,0,0,0,0,0,0
1022,Flagship Ale,Ale Cream - American,Grey Sail Brewing of Rhode Island,4.9,3.37,10,22,21,66,7,45,57,23,3,23,67,3,96,RI,US,f,Ale,0,0,0,0,0,0,0
1023,Irish Coffee,Ale Cream - American,Carton Brewing Company,12.0,4.09,10,22,11,96,29,87,41,9,0,6,59,37,98,NJ,US,f,Ale,0,0,0,0,0,0,0
1024,Stillwater Vanilla Cream Ale,Ale Cream - American,Thomas Creek Brewery,4.5,3.19,10,22,12,57,10,17,24,16,4,15,33,68,53,SC,US,f,Ale,0,0,0,0,0,0,0
1025,El Murciélago,Ale Cream - American,Cigar City Brewing,9.5,3.71,10,22,18,53,34,14,41,49,6,58,8,59,40,FL,US,f,Ale,0,0,0,0,0,0,0
1026,Croydon Cream Ale,Ale Cream - American,Neshaminy Creek Brewing Company,4.2,3.51,10,22,17,50,4,33,35,11,4,12,50,8,56,PA,US,f,Ale,0,0,0,0,0,0,0
1027,Killer Whale Cream Ale,Ale Cream - American,Bold City Brewery,5.5,3.26,10,22,9,56,3,24,16,13,0,11,30,1,46,FL,US,f,Ale,0,0,0,0,0,0,0
1029,Ss-C.R.E.A.M,Ale Cream - American,Carton Brewing Company,8.4,4.1,10,22,20,100,17,82,45,67,3,98,124,11,46,NJ,US,f,Ale,0,0,0,0,0,0,0
1030,Wild Night Honey Cream Ale,Ale Cream - American,Swamp Head Brewery,5.9,3.51,10,22,23,42,9,21,57,19,3,17,33,9,76,FL,US,f,Ale,0,0,0,0,0,0,0
1031,Grazias,Ale Cream - American,Mike Hess Brewing - Miramar,5.5,3.68,10,22,10,96,14,37,53,15,0,17,41,12,118,CA,US,f,Ale,0,0,0,0,0,0,0
1032,Castle Cream Ale,Ale Cream - American,Castle Danger Brewery,5.3,3.89,10,22,14,82,17,28,54,22,2,30,35,15,100,MN,US,f,Ale,0,0,0,0,0,0,0
1034,Grand Rabbits,Ale Cream - American,Blackrocks Brewery,5.5,3.72,10,22,21,70,15,55,52,56,4,71,79,6,56,MI,US,f,Ale,0,0,0,0,0,0,0
1035,Farmer Ted'S Cream Ale,Ale Cream - American,Catawba Brewing Co.,5.6,3.52,10,22,17,85,5,22,48,25,3,25,35,10,67,NC,US,f,Ale,0,0,0,0,0,0,0
1036,Henry Weinhard'S Blue Boar Ale,Ale Cream - American,Blitz-Weinhard Brewing Co.,4.6,2.83,10,22,27,56,6,43,38,14,1,27,55,3,44,OR,US,f,Ale,0,0,0,0,0,0,0
1037,Anthem Golden Ale,Ale Cream - American,Union Craft Brewing Company,5.0,3.68,10,22,19,38,8,30,45,21,2,31,36,3,52,MD,US,f,Ale,0,0,0,0,0,0,0
1038,Dome Faux'M Throwback Cream Ale,Ale Cream - American,8th Wonder Brewery,5.1,3.65,10,22,20,62,6,36,23,6,2,1,55,5,54,TX,US,f,Ale,0,0,0,0,0,0,0
1039,Ermal'S Belgian Style Cream Ale,Ale Cream - American,Warped Wing Brewing Company,5.4,3.65,10,22,13,47,8,12,20,33,0,37,22,35,34,OH,US,f,Ale,0,0,0,0,0,0,0
1040,Outboard,Ale Cream - American,Milwaukee Brewing Company,5.0,3.44,10,22,7,62,8,21,34,23,1,23,28,1,31,WI,US,f,Ale,0,0,0,0,0,0,0
1041,Fallen Apple,Ale Cream - American,Furthermore Beer,6.2,3.35,10,22,23,49,4,6,103,146,1,122,7,5,31,WI,US,f,Ale,0,0,0,0,0,0,0
1042,The Lawn Ranger Cream Ale,Ale Cream - American,Cedar Creek Brewery,5.0,3.53,10,22,20,69,14,20,26,17,0,17,39,12,64,TX,US,f,Ale,0,0,0,0,0,0,0
